densenet169_num-27000 top1:0.7605185185185185, top5:0.9318888888888889, time cost: 3.165785074234009s
densenet169_num-27100 top1:0.7601845018450184, top5:0.9318081180811808, time cost: 3.175010919570923s
densenet169_num-27200 top1:0.7603308823529412, top5:0.9319485294117648, time cost: 3.148311138153076s
densenet169_num-27300 top1:0.7602930402930403, top5:0.9319047619047619, time cost: 3.1531543731689453s
densenet169_num-27400 top1:0.7603649635036497, top5:0.932007299270073, time cost: 3.1572558879852295s
densenet169_num-27500 top1:0.7602545454545454, top5:0.9318545454545455, time cost: 3.137816905975342s
densenet169_num-27600 top1:0.7601811594202899, top5:0.9319202898550725, time cost: 3.1267616748809814s
densenet169_num-27700 top1:0.7605054151624548, top5:0.9320216606498195, time cost: 3.1684396266937256s
densenet169_num-27800 top1:0.7604676258992806, top5:0.9319424460431655, time cost: 3.1527814865112305s
densenet169_num-27900 top1:0.7605376344086021, top5:0.931899641577061, time cost: 3.132828950881958s
densenet169_num-28000 top1:0.7606071428571428, top5:0.9319285714285714, time cost: 3.2406609058380127s
densenet169_num-28100 top1:0.7607473309608541, top5:0.9319572953736655, time cost: 3.291673421859741s
densenet169_num-28200 top1:0.7608156028368794, top5:0.931950354609929, time cost: 3.1241798400878906s
densenet169_num-28300 top1:0.7610247349823321, top5:0.9319434628975265, time cost: 3.0101423263549805s
densenet169_num-28400 top1:0.7613028169014084, top5:0.9319014084507042, time cost: 3.1722373962402344s
densenet169_num-28500 top1:0.7613684210526316, top5:0.9320350877192982, time cost: 3.36918044090271s
densenet169_num-28600 top1:0.7613286713286713, top5:0.9320629370629371, time cost: 3.2306432723999023s
densenet169_num-28700 top1:0.7613588850174215, top5:0.9319512195121952, time cost: 3.181507110595703s
densenet169_num-28800 top1:0.7614930555555556, top5:0.9320486111111111, time cost: 3.1579108238220215s
densenet169_num-28900 top1:0.7614186851211072, top5:0.9320069204152249, time cost: 3.1281938552856445s
densenet169_num-29000 top1:0.7613793103448275, top5:0.9317586206896552, time cost: 3.154100179672241s
densenet169_num-29100 top1:0.7610996563573883, top5:0.9316494845360824, time cost: 3.131119728088379s
densenet169_num-29200 top1:0.7610958904109589, top5:0.9316780821917808, time cost: 3.1412770748138428s
densenet169_num-29300 top1:0.7612627986348123, top5:0.9317747440273038, time cost: 3.1426286697387695s
densenet169_num-29400 top1:0.7611904761904762, top5:0.9317006802721088, time cost: 3.1596052646636963s
